scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
A,25,1,28,78,1,3,320.89599999999996,322.496,0.4987565900726151,0.5012434099273848,2471.4497865212365,2483.772531767154,2471.4497865212365,2483.772531767154,2791.4497865212365,2803.772531767154,123880.55795720978,123880.55795720978
A,25,2,56,156,2,6,2807.0819053257555,2847.5113832627217,0.49642507640482675,0.5035749235951733,2444.286506662576,2479.4907617308913,4915.736293183812,4963.263293498045,5235.736293183812,5283.263293498045,123094.43170983667,246974.98966704647
A,25,3,84,234,3,9,5279.716478046556,5406.891654565899,0.4940497875967193,0.5059502124032808,2417.892038146362,2476.133015296284,7333.628331330175,7439.396308794328,7653.628331330175,7759.396308794328,122350.62633606615,369325.61600311263
A,25,4,112,312,4,12,7739.348968641073,8001.489473628711,0.4916732356427821,0.508326764357218,2392.282247255449,2473.3115533262176,9725.910578585623,9912.707862120546,10045.910578585623,10232.707862120546,121639.84501454166,490965.4610176543
A,25,5,140,390,5,15,10186.553326685822,10631.783468743246,0.48930677924868665,0.5106932207513133,2367.398615947927,2470.8720076125805,12093.309194533549,12383.579869733127,12413.309194533549,12703.579869733127,120956.76558901269,611922.2266066669
A,25,6,168,468,6,18,12621.852789001712,13298.107407636637,0.4869549448860143,0.5130450551139857,2343.1843069462425,2468.727619514904,14436.493501479792,14852.30748924803,14756.493501479792,15172.30748924803,120297.79816152866,732220.0247681956
A,25,7,196,546,7,21,15045.720774108797,16000.715478160973,0.4846198981375462,0.5153801018624538,2319.590441923896,2466.8214467302164,16756.08394340369,17319.128935978246,17076.08394340369,17639.128935978246,119660.29721635282,851880.3219845484
A,25,8,224,624,8,24,17458.588223735933,18739.81058158329,0.4823027758114665,0.5176972241885336,2296.5753564769,2465.112677793585,19052.65929988059,19784.241613771832,19372.65929988059,20104.241613771832,119042.20085676212,970922.5228413105
A,25,9,252,702,9,27,19860.850314237578,21515.559375058616,0.480004197159123,0.519995802840877,2274.1031860614876,2463.5703582963233,21326.762485942076,22247.811972068157,21646.762485942076,22567.811972068157,118441.83860894527,1089364.3614502558
A,25,10,280,780,10,30,22252.871835548456,24328.101305889475,0.47772449424747077,0.5222755057525292,2252.1426639525284,2462.170064558884,23578.905149894603,24709.98203662704,23898.905149894603,25029.98203662704,117857.8182127853,1207222.1796630411
