day,baseline_daily,probability,expected_daily,cumulative_expected
1,353655.8421290026,0.35028562574125954,123880.55795720978,123880.55795720978
2,350942.5755037689,0.3507537708502248,123094.43170983667,246974.98966704647
3,348250.125205882,0.35132974112710996,122350.62633606615,369325.61600311263
4,345578.3315313612,0.3519892131995633,121639.84501454166,490965.4610176543
5,342927.03600149415,0.3527186628367373,120956.76558901269,611922.2266066669
6,340296.08135340316,0.35350920787300333,120297.79816152866,732220.0247681956
7,337685.31153074605,0.3543544629582084,119660.29721635282,851880.3219845484
8,335094.5716744703,0.3552495651060752,119042.20085676212,970922.5228413105
9,332523.7081135842,0.35619065864767646,118441.83860894527,1089364.3614502558
10,329972.5683560921,0.3571745942395983,117857.8182127853,1207222.1796630411
11,327441.0010799137,0.3581987398021916,117288.95394639314,1324511.1336094344
12,324928.8561239098,0.3592608550979488,116734.21869707422,1441245.3523065085
13,322435.9844790087,0.3603590048817081,116192.71050490945,1557438.062811418
14,319962.23827932496,0.3614914966410471,115663.62838421251,1673101.6911956305
15,317507.47079341486,0.3626568346704769,115146.25434216872,1788247.9455377993
16,315071.53641556855,0.36385368537116713,114639.9396803605,1902887.8852181598
17,312654.2906571748,0.3650808504904623,114144.09434261356,2017031.9795607734
18,310255.59013813455,0.36633724611700746,113658.17848361119,2130690.1580443843
19,307875.29257836845,0.367621885937939,113181.69569135456,2243871.853735739
20,305513.2567893993,0.36893386771147124,112714.18746444098,2356586.04120018
21,303169.3426659228,0.37027236220542237,112255.22865717638,2468841.2698573563
22,300843.41117756255,0.3716366040547208,111804.42368226738,2580645.6935396236
23,298535.32436057087,0.37302588413189086,111361.40331420276,2692007.096853826
24,296244.9453096688,0.37443954312453,110925.82197470375,2802932.91882853
25,293972.1381699201,0.3758769660859773,110497.35540911728,2913430.274237647
26,291716.76812868007,0.3773375777782978,110075.69868298947,3023505.9729206366
27,289478.70140759554,0.37882083866605276,109660.56444318521,3133166.5373638216
28,287257.805254668,0.38032624144896365,109251.68139938625,3242418.218763208
29,285053.9479363635,0.3818533080441571,108848.79299054734,3351267.011753755
30,282866.99872983433,0.38340158694607784,108451.65620769266,3459718.667961448
31,280696.8279151432,0.3849706509056911,108060.04054965544,3567778.7085111034
32,278543.3067675531,0.38656009488122756,107673.7270925962,3675452.4356036996
33,276406.3075499367,0.3881695342211442,107292.50765744525,3782744.9432611447
34,274285.703505151,0.38979860304669656,106916.18406198826,3889661.127323133
35,272181.3688485548,0.39144695280692937,106544.56744658566,3996205.6947697187
36,270093.178760523,0.39311425098327024,106177.4776641335,4102383.172433852
37,268021.0093790572,0.3948001799244866,105814.74272639431,4208197.915160246
38,265964.73779243976,0.3965044357956963,105456.19829994162,4313654.113460188
39,263924.2420319412,0.398226727627539,105101.68724595853,4418755.800706146
40,261899.4010645561,0.39996677645362755,104751.05919892625,4523506.8599050725
41,259890.09478588216,0.40172431452606394,104404.1701799723,4627911.030085045
42,257896.20401295833,0.4034990846002166,104060.88224109939,4731971.912326144
43,255917.61047719605,0.4052908392811286,103721.06313712374,4835692.975463267
44,253954.19681734592,0.40709934042493,103384.58602248438,4939077.5614857515
45,252005.84657261334,0.4089243585894742,103051.32917050335,5042128.890656255
46,250072.44417566247,0.4107656725291401,102721.17571282183,5144850.066369077
47,248153.874945784,0.4126230687293629,102394.01339721195,5247244.079766289
48,246250.02508214302,0.4144963409769852,102069.7343620391,5349313.814128328
49,244360.7816569619,0.416385289962981,101748.23492581477,5451062.049054143
50,242486.03260885738,0.41828972291449795,101429.41539059486,5552491.464444738
51,240625.66673619673,0.42020945325350956,101113.17985797842,5653604.6443027165
52,238779.57369048335,0.42214430027966643,100799.43605664614,5754404.080359363
53,236947.64396981895,0.42409408887519634,100488.09518050478,5854892.175539868
54,235129.76891241595,0.42605864922993186,100179.07173656997,5955071.2472764375
55,233325.84069013596,0.4280378165847434,99872.28340180547,6054943.530678243
56,231535.75230211206,0.4300314309918327,99567.65088824778,6154511.181566491
57,229759.39756841026,0.43203933709049586,99265.09781576766,6253776.279382259
58,227996.67112366483,0.43406138389710236,98964.55059187047,6352740.829974129
59,226247.4684109334,0.4360974246081595,98665.93829812396,6451406.768272253
60,224511.68567541242,0.4381473164154367,98369.19258258799,6549775.96085484
61,222789.21995832026,0.44021092033222287,98074.24755795019,6647850.208412791
62,221079.96909075603,0.44228810102987337,97781.03970489358,6745631.248117684
63,219383.83168770745,0.44437872668388134,97489.50778041438,6843120.755898098
64,217700.70714195445,0.44648266882877485,97199.59273065135,6940320.34862875
65,216030.495618172,0.4485998022212034,96911.2376080605,7037231.58623681
66,214373.09804694355,0.4507300047106329,96624.38749253184,7133855.973729342
67,212728.41611894965,0.4528731571171163,96338.98941631238,7230194.963145655
68,211096.35227908194,0.4550291431156526,96054.9922923906,7326249.955438045
69,209476.80972070247,0.4571978491266883,95772.34684622573,7422022.3022842705
70,207869.69237986207,0.45937916421234826,95491.00555053898,7517513.30783481
71,206274.90492961183,0.46157297997802055,95210.92256304382,7612724.230397853
72,204692.35277439654,0.4637791904789462,94932.05366694051,7707656.284064794
73,203121.94204433262,0.4659976921314931,94654.3562139259,7802310.64027872
74,201563.57958979905,0.4682283836288183,94377.78906977028,7896688.42934849
75,200017.1729757525,0.4704711658606453,94102.31256205264,7990790.741910543
76,198482.63047635183,0.47272594183690275,93827.88843019935,8084618.630340743
77,196959.86106945947,0.4749926166149903,93554.47977750751,8178173.11011825
78,195448.77443129942,0.47727109723045497,93282.05102517396,8271455.161143424
79,193949.28093101084,0.47956129263087477,93010.56786810423,8364465.729011528
80,192461.29162545502,0.4818631136127646,92739.99723257606,8457205.726244105
81,190984.71825379133,0.4841764727613279,92470.30723543669,8549676.033479542
82,189519.47323239595,0.4865012843928934,92201.4671450252,8641877.500624567
83,188065.4696495384,0.48883746449988563,91933.44734346055,8733810.947968028
84,186622.62126030028,0.4911849306981883,91666.21929045484,8825477.167258482
85,185190.8424814418,0.4935436021767692,91399.75548844144,8916876.922746925
86,183770.04838632047,0.4959133996494437,91134.02944900295,9008010.952195928
87,182360.15469982848,0.4982942453086632,90869.0156605221,9098879.96785645
88,180961.07779347524,0.5006860627812193,90604.68955706105,9189484.65741351
89,179572.7346803397,0.5030887770857654,90341.0274882787,9279825.684901789
90,178195.04301014915,0.5055023145920599,90078.00669046205,9369903.69159225
